"","beta.1.","beta.2.","beta.3.","beta.4.","beta.5.","beta.6.","beta.7.","beta.8.","beta.9.","beta.10.","beta.11.","beta.12.","beta.13.","beta.14.","beta.15.","beta.16.","beta.17."
"1",-0.515943240691484,-0.732029840660815,0.0711383784277211,-0.11250953597907,-0.0331087706226691,-0.11039183986069,-2.26109681034822,-2.35825033843111,0.0236980016391329,-1.6916005786046,-1.88490367698467,0.286161648336058,-0.118994146684391,-0.0207318919340643,0.493784317931016,-0.629805971604059,2.22350655699453
"2",-0.575467553355668,1.80350945508851,-0.0349457152510725,-0.150204688496735,0.121661003725331,-0.6204471520365,-2.34509709906875,-2.30515748396215,0.182128820956461,-1.32759755887767,-1.94836408891984,0.18775644254753,-0.0675105300436814,0.0475525336863657,0.514852186562837,-0.626330339809257,2.20663277918085
"3",-0.545510027940381,-0.229392288771766,-0.0867579513254745,-0.175780848211189,-0.247428651651059,-1.25403154874437,-2.07013876488134,-2.32249957401073,0.0341774790519544,-2.06268149167528,-1.8801621532933,0.233012752317217,-0.0600354070445097,0.190965179482026,0.475309502333209,-0.645372261201403,2.23101397095827
"4",-0.527566983127734,0.190641246916767,-0.0418076414934646,-0.141633723024998,0.0666009129812726,-0.138064741877972,-2.40671908587529,-2.31054195443357,-0.0157609952130395,-0.511801344507111,-1.86125996768065,0.218789817486981,-0.0809282144268901,0.0154200809563025,0.517741377671053,-0.657072589831232,2.29448141036268
"5",-0.506020375922662,0.989944699485956,-0.0275528429228821,-0.043423117910393,0.0914457511447456,0.385885201759991,-2.13104704920839,-2.35726969400991,0.165458195300266,-0.484012725033007,-1.86855000115144,0.206030699015066,-0.192073977428233,0.208798306422544,0.570537301289852,-0.641320313664413,2.17909715111564
"6",-0.514831475512532,1.21074821113573,0.0270577596461092,-0.0146958330639674,0.0204665576445365,0.0826083289953197,-2.4704105557556,-2.34923658071439,0.0617369499348414,-0.120267100357769,-1.82791661297593,0.185187320630043,-0.240335163986641,0.140623329982325,0.464309696437526,-0.606426775193467,2.10641941514606
"7",-0.540675771580049,-0.0926858530717776,-0.186096327790647,-0.0765823518395063,0.136180626736991,-0.606338624633873,-1.53899518098409,-2.29445984394091,-0.0583501582052735,0.389226191095072,-1.98507914413395,0.226237985988855,-0.127138652764629,0.0496435178855818,0.557545942945753,-0.635388916550968,2.17204547221994
"8",-0.451656208066605,-5.37817479111443,-0.0452203441387067,-0.151559970972603,-0.0949286726595946,-0.385838574200106,-2.44264819438241,-2.32655928159183,0.00363353666911347,-0.725332178891663,-1.92820779123189,0.204739901176366,-0.0386693957984972,0.0647151710381159,0.444963210052228,-0.729396188459767,2.15696428044874
"9",-0.440106633864103,1.68599344688272,0.0293323729724646,-0.196960488637907,-0.0436873695575551,-0.547869799482907,-2.30382380800068,-2.41914604308466,0.0223818984587229,-0.744377002237444,-1.98631760714545,0.307452416665033,-0.0372640194776723,0.184636128411172,0.446570259315067,-0.653768680443452,2.1847296204462
"10",-0.533519074651389,1.55317710173855,-0.0747427437813436,-0.17915839499958,-0.128556523799278,0.00542710712011374,-2.16434793802073,-2.3080513479293,0.0240878403270265,-0.0477042932023006,-1.95785711642436,0.242483000863179,-0.136372380246452,-0.0135767291113576,0.535111145755421,-0.571247776131051,2.02039391270436
