LNG,LAT,X,Y,crashYear,holidayNew,region,policeDistrict,areaUnitID,crashLocation1,weatherA,vehicleType,light,roadSurface,roadType,speedLimit,pedestrian,minorInjuryCount,fatalCount,severeOrFatal
174.948898,-41.17993755,1763463,5439437,2003,not holiday,Wellington Region,Wellington,568202,HARCOURT WERRY DRIVE,Fine,car,Twilight,Sealed,Arterial Road,70,NA,0,0,TRUE
175.1538218,-41.08998863,1780899,5449018,2004,not holiday,Wellington Region,Wellington,566500,SH 2,Fine,motorcycle,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
174.9519891,-41.20613226,1763657,5436523,2015,not holiday,Wellington Region,Wellington,568303,SHEARER CRESCENT,Fine,car,Dark,Sealed,Urban Road,50,NA,1,0,TRUE
172.6075976,-43.36138486,1568204,5198978,2001,not holiday,Canterbury Region,Canterbury,586121,THRELKELDS ROAD,Fine,car,Bright sun,Sealed,Highway,100,NA,1,0,TRUE
173.9069207,-41.5279028,1675662,5402241,2004,not holiday,Marlborough Region,Tasman,580452,BELLS ROAD,Fine,car,Dark,Sealed,Highway,100,NA,1,0,TRUE
174.959544,-37.08438637,1774169,5893970,2013,not holiday,Auckland Region,Counties Manukau,521301,OPAHEKE ROAD,Fine,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.9272111,-41.07897904,1761892,5450686,2017,not holiday,Wellington Region,Wellington,565601,PAEKAKARIKI HILL ROAD,Fine,car,Bright sun,Sealed,Arterial Road,60,NA,1,0,TRUE
173.0615368,-42.9355355,1605021,5246342,2005,Queens Birthday,Canterbury Region,Canterbury,585700,SH 1S,Light rain,car,Overcast,Sealed,Highway,100,NA,1,0,TRUE
176.1154222,-37.76212899,1874441,5816005,2002,not holiday,Bay of Plenty Region,Bay of Plenty,536630,PYES PA ROAD,Fine,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.6427498,-36.9085075,1746346,5914017,2003,not holiday,Auckland Region,Counties Manukau,511002,WEST COAST ROAD,Fine,car,Overcast,Sealed,Urban Road,50,NA,0,0,TRUE
175.258867,-37.77868397,1798930,5816337,2015,not holiday,Waikato Region,Waikato,528800,MAEROA ROAD,Fine,car,Overcast,Sealed,Urban Road,50,1,0,0,TRUE
174.4519974,-35.88210676,1731064,6028154,2013,not holiday,Northland Region,Northland,501806,MARSDEN POINT ROAD,Fine,car,Bright sun,Sealed,Arterial Road,70,1,0,0,TRUE
171.6188594,-43.52547407,1488389,5179903,2007,not holiday,Canterbury Region,Canterbury,597720,SH 77,Light rain,motorcycle,Bright sun,Sealed,Highway,100,NA,0,0,TRUE
175.2066869,-37.69274719,1794559,5825983,2017,not holiday,Waikato Region,Waikato,527123,SULLIVAN ROAD,Fine,car,Dark,Unsealed,Highway,100,NA,0,0,TRUE
176.2239204,-37.6837606,1884301,5824379,2006,not holiday,Bay of Plenty Region,Bay of Plenty,536831,SH 29,Heavy rain,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
177.9987121,-38.65194777,2035082,5709975,2002,not holiday,Gisborne Region,Bay of Plenty,544300,GLADSTONE ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
172.725918,-43.51087842,1577846,5182414,2005,not holiday,Canterbury Region,Canterbury,595800,OWLES TERRACE,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
175.2066257,-38.18784068,1793252,5771042,2016,not holiday,Waikato Region,Waikato,531200,SH 31,Mist or Fog,truck,Dark,Sealed,Arterial Road,70,NA,0,0,TRUE
177.865799,-38.4659895,2024603,5731250,2015,not holiday,Gisborne Region,Bay of Plenty,543602,BALFOUR ROAD,Mist or Fog,car,Dark,Sealed,Urban Road,50,NA,0,0,TRUE
175.2868332,-37.78244271,1801383,5815860,2006,not holiday,Waikato Region,Waikato,530100,CLAUDELANDS ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
176.0109911,-38.39187242,1862972,5746411,2003,not holiday,Waikato Region,Waikato,535262,SH 1N,Fine,car,Dark,Sealed,Highway,100,NA,2,0,TRUE
167.7671477,-45.39148802,1190397,4960224,2016,not holiday,Southland Region,Southern,612714,SINCLAIR ROAD,Fine,car,Dark,Sealed,Highway,100,NA,0,0,TRUE
174.8167166,-36.97347419,1761708,5906528,2004,not holiday,Auckland Region,Counties Manukau,524112,MASSEY ROAD,Fine,car,Bright sun,Sealed,Urban Road,50,NA,0,0,TRUE
175.5568398,-37.32757051,1826538,5865722,2010,not holiday,Waikato Region,Waikato,533901,RESERVOIR CANAL ROAD,Fine,car,Dark,Sealed,Highway,100,NA,0,1,TRUE
